study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,JE,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,JE,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,JE,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,JE,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,JE,Bombus_griseocollis,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,JE,Bombus_impatiens,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_impatiens,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_impatiens,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_impatiens,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_impatiens,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_impatiens,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_impatiens,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
Rachael_Winfree_Vaccinium_macrocarpon_USA_2009,HN,Bombus_impatiens,bumblebees,transect,1,240,240,NA,"Within each farm two 60 m transects were located. Two sample days per farm were conducted per year, and within each day data sampling was conducted once in the morning and once in the afternoon. All wild bees visiting cranberry flowers within the transect were collected for a total of 60 minutes per collection day"
